id,year,,make,model,trim,vin,is_new,exterior_color,interior_color,engine_cylinders,drive_train,transmission,transmission_desc,epa_city,epa_highway,fuel_type,selling_price,mileage,description,features,car links for description
1,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" LT",3GCPACEK6PG263459,TRUE,Black,,4,Rear Wheel Drive,Automatic,,19,22,Gasoline Fuel,52235,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
2,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACEK7PG255354,TRUE,Summit White,,4,Rear Wheel Drive,Automatic,,19,22,Gasoline Fuel,51580,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
3,2023,,Chevrolet,Silverado 1500,"4WD Crew Cab 147"" LT Trail Boss",3GCPDFEK3PG267607,TRUE,Summit White,,4,Four Wheel Drive,Automatic,,18,21,Gasoline Fuel,60280,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
4,2023,,Chevrolet,Silverado 1500,"4WD Crew Cab 147"" LT Trail Boss",3GCPDFEK8PG267604,TRUE,Summit White,,4,Four Wheel Drive,Automatic,,18,21,Gasoline Fuel,60280,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
5,2023,,Chevrolet,Blazer,FWD 4dr Premier,3GNKBFR40PS196916,TRUE,Sterling Gray Metallic,Jet Black,4,Front Wheel Drive,Automatic,9-Speed A/T,22,29,Gasoline Fuel,48915,2,,"Blazer boasts powerful engines, agile handling, spacious comfort, tech-savvy features, and safety options, making it a versatile SUV for adventure seekers.",https://www.goschchevy.com/inventory/new-2024-chevrolet-blazer-rs-front-wheel-drive-suv-3gnkbers6rs181297/
6,2023,,Chevrolet,Blazer,FWD 4dr Premier,3GNKBFR44PS218996,TRUE,Sterling Gray Metallic,Jet Black,4,Front Wheel Drive,Automatic,9-Speed A/T,22,29,Gasoline Fuel,49060,2,,"Blazer boasts powerful engines, agile handling, spacious comfort, tech-savvy features, and safety options, making it a versatile SUV for adventure seekers.",https://www.goschchevy.com/inventory/new-2024-chevrolet-blazer-rs-front-wheel-drive-suv-3gnkbers6rs181297/
7,2018,,Chevrolet,Malibu,4dr Sdn LT w/1LT,1G1ZD5ST4JF145243,FALSE,Mosaic Black Metallic,Jet Black,4,Front Wheel Drive,Automatic,Automatic,27,36,Gasoline Fuel,18995,82757,"Clean CARFAX. Mosaic Black Metallic 2018 Chevrolet Malibu LT FWD 6-Speed Automatic 1.5L DOHC **CARFAX 1 OWNER **, **NAVIGATION / GPS / NAVI **, **CLEAN CARFAX**, Jet Black Cloth.27/36 City/Highway MPGAwards:* 2018 KBB.com 10 Best Sedans Under $25,000 * 2018 KBB.com 10 Most Awarded BrandsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","a choice between efficient hybrid and potent gasoline engines, spacious comfort features, and advanced technology, making it a stylish sedan for everyday journeys.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-malibu-lt-1G1ZD5ST0RF108041
8,2020,,Chevrolet,Bolt EV,5dr Wgn Premier,1G1FZ6S05L4119040,FALSE,Summit White,Dark Galvanized/Sky Cool Gray,,Front Wheel Drive,,Automatic,0,0,Electric Fuel System,27525,7767,"CARFAX One-Owner. Summit White 2020 Chevrolet Bolt EV Premier FWD 1-Speed Automatic Electric Drive Unit 2 USB Charging-Only Ports For Rear Passengers, Automatic Emergency Braking, Automatic temperature control, Bose Premium 7-Speaker Audio System, Driver Confidence II Package, Following Distance Indicator, Forward Collision Alert, Front Pedestrian Braking, Infotainment Package, IntelliBeam Automatic On/Off High Beam, Lane Keep Assist w/Lane Departure Warning, Preferred Equipment Group 2LZ, Premium audio system: Chevrolet MyLink, Steering wheel mounted audio controls, Wheels: 17 Ultra-Bright Machined Aluminum, Wireless Charging For Devices.Recent Arrival! 127/108 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","
Bolt EV zaps you with electrifying speed, spacious and tech-savvy interior, and eco-friendly driving, making it a zippy choice for city commutes and green adventures.",https://www.goschchevy.com/inventory/new-2023-chevrolet-bolt-ev-2lt-front-wheel-drive-hatchback-1g1fx6s08p4207530/
9,2020,,Chevrolet,Trax,FWD 4dr LS,KL7CJKSB0LB354322,FALSE,Stone Gray Metallic,Jet Black,4,Front Wheel Drive,Automatic,Automatic,26,31,Gasoline Fuel,19817,29517,"CARFAX One-Owner. Clean CARFAX. Stone Gray Metallic 2020 Chevrolet Trax LS FWD 6-Speed Automatic ECOTEC 1.4L I4 SMPI DOHC Turbocharged VVT Factory Certified, 16 Aluminum Wheels, Deep-Tinted Rear Glass Windows & Liftgate, Electronic Automatic Cruise Control, Exterior Parking Camera Rear, Front & Rear All Weather Floor Mats (LPO), Front & Rear Custom Molded Black Splash Guards (LPO), Preferred Equipment Group 1LS, Premium audio system: Chevrolet MyLink, Protection Package, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Tint & Cruise Package.26/31 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","
Trax zips through city streets with its peppy engine, fuel-efficient charm, and compact practicality, making it a budget-friendly urban runabout. ",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-trax-activ-KL77LKE27RC168965
10,2020,,Chevrolet,Traverse,FWD 4dr LT Cloth w/1LT,1GNERGKW1LJ285559,FALSE,Mosaic Black Metallic,Jet Black,6,Front Wheel Drive,Automatic,Automatic,18,27,Gasoline Fuel,30995,50744,"CARFAX One-Owner. Clean CARFAX. Mosaic Black Metallic 2020 Chevrolet Traverse LT 1LT FWD 9-Speed Automatic 3.6L V6 SIDI VVT **CARFAX 1 OWNER **, **CLEAN CARFAX**, Apple CarPlay/Android Auto, Automatic temperature control, Front dual zone A/C, Preferred Equipment Group 1LT, Steering wheel mounted audio controls, Tilt steering wheel, Trip computer, Wheels: 18 Bright Silver Painted Aluminum.18/27 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Trax zips through city streets with its peppy engine, fuel-efficient charm, and compact practicality, making it a budget-friendly urban runabout. ",https://www.goschauto.com/vehicle-details/new-2023-chevrolet-traverse-premier-1GNEVKKW5PJ320625
11,2021,,Chevrolet,Tahoe,4WD 4dr Premier,1GNSKSKD5MR168692,FALSE,Satin Steel Metallic,Jet Black,8,Four Wheel Drive,Automatic,Automatic,16,20,Gasoline Fuel,71995,25667,"CARFAX One-Owner. Satin Steel Metallic 2021 Chevrolet Tahoe Premier 4WD 10-Speed Automatic with Overdrive EcoTec3 5.3L V8 Factory Certified, 15 Diagonal Multi-Color Head-Up Display, 1st & 2nd Row Color-Keyed Carpeted Floor Mats, 2 USB Data Ports, 20 x 9 Polished Aluminum Wheels, 2-Speed Active Electronic AutoTrac Transfer Case, 3rd Row 60/40 Power-Folding Split-Bench Seat, Adaptive Cruise Control, Advanced Trailering Package, Advanced Trailering System, Auto-Dimming Inside Rear-View Mirror, Automatic Heated Steering Wheel, Automatic temperature control, Bright Front & Rear Door Sill Plates, Chrome Door Handles w/Body-Color Strip, Chrome Mirror Caps, Color-Keyed Carpeting Floor Covering, Driver & Front Outboard Passenger Airbags, Dual Exhaust System, Dual-Pane Power Panoramic Sunroof, Enhanced Automatic Emergency Braking, Enhanced Display & Alert Package, Enhanced Driver Information Center, Extra Capacity Cooling System, Floor Console w/Storage Area, Front & Rear Park Assist, Hands-Free Rear Power Programmable Liftgate, HD Radio, HD Surround Vision, Heated 2nd Row Outboard Seats, Hill Descent Control, Hitch Guidance w/Hitch View, Infotainment Display, Inside Rearview Auto-Dimming Rear Camera Mirror, Integrated Trailer Brake Controller, Lane Change Alert w/Side Blind Zone Alert, Lane Keep Assist w/Lane Departure Warning, Leather-Wrapped Steering Wheel, LED Daytime Running Lamps, Max Trailering Package, Memory Settings, Navigation System, Outside Heated Power-Adjustable Mirrors, Power Release 2nd Row Bucket Seats, Power Tilt & Telescopic Steering Column, Preferred Equipment Group 1LZ, Premium Package, Rear Camera Mirror Washer, Rear Cross Traffic Alert, Rear Pedestrian Alert, Remote Start, Safety Alert Seat, SiriusXM NavTraffic, SiriusXM Radio w/360L, Trailer Side Blind Zone Alert, Universal Home Remote.Recent Arrival! Odometer is 5351 miles below market average!Awards:* JD Power Automotive Performance, Execution and Layout (APEAL) Study * ALG Residual ValueIf you have any questions or would like s","
Tahoe conquers any road with its imposing presence, powerhouse engines, spacious family haven, and tech-guided confidence, making it an off-road-ready giant for boundless adventures. ?",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-tahoe-z71-1GNSKPKD8RR147906
12,2022,,Chevrolet,Camaro,2dr Cpe 1LT,1G1FA1RS4N0129604,FALSE,Black,Jet Black,4,Rear Wheel Drive,Manual,Manual,18,29,Gasoline Fuel,28945,9858,"CARFAX One-Owner. Clean CARFAX. Black 2022 Chevrolet Camaro 1LT RWD 6-Speed Manual 3.6L V6 DI Factory Certified, Apple CarPlay/Android Auto, Automatic temperature control, Exterior Parking Camera Rear, Preferred Equipment Group 1LT, Premium audio system: Chevrolet Infotainment System, Telescoping steering wheel, Tilt steering wheel.Recent Arrival! Odometer is 12169 miles below market average! 16/26 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Tahoe conquers any road with its imposing presence, powerhouse engines, spacious family haven, and tech-guided confidence, making it an off-road-ready giant for boundless adventures. ?",https://www.goschchevy.com/inventory/new-2024-chevrolet-camaro-1lt-rear-wheel-drive-convertible-1g1fb3ds1r0116010/
13,2023,,Chevrolet,Silverado 2500HD,"4WD Crew Cab 159"" High Country",1GC4YREY3PF129063,FALSE,Summit White,Jet Black,8,Four Wheel Drive,Automatic,Automatic,0,0,Diesel Fuel,87995,5370,," Hauls mountains, tows giants, conquers off-road, yet pampers your crew with surprising comfort",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-silverado-2500hd-high-country-1GC4YREY2RF286943
14,2023,,Chevrolet,Traverse,FWD 4dr Premier,1GNERKKW4PJ188946,FALSE,Summit White,Jet Black,6,Front Wheel Drive,Automatic,Automatic,18,27,Gasoline Fuel,49995,10735,"CARFAX One-Owner. Clean CARFAX. Summit White 2023 Chevrolet Traverse Premier FWD 9-Speed Automatic 3.6L V6 SIDI VVT **CARFAX 1 OWNER **, **CLEAN CARFAX**, Factory Certified.Recent Arrival! 18/27 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Traverse tames family chaos with its cavernous comfort, powerful towing muscle, and tech-fueled safety, all wrapped in a rugged, adventure-ready SUV. ????",https://www.goschauto.com/vehicle-details/new-2023-chevrolet-traverse-premier-1GNEVKKW5PJ320625
15,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" Custom",3GCPABEK3PG174930,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,46685,9,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
16,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" Custom",3GCPABEK9PG174916,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,46220,48,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
17,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" Custom",3GCPABEK3PG202449,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,56680,5,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
18,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" RST",2GCPADED5P1116226,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,58095,6,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
19,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACEDXPG194289,TRUE,Radiant Red Tintcoat,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,63630,9,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
20,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" Custom",1GCPABEK8PZ214077,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,46220,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
21,2023,,Chevrolet,Silverado 1500,"4WD Crew Cab 147"" RST",1GCUDEE88PZ203922,TRUE,Summit White,Jet Black,4,Four Wheel Drive,Automatic,Automatic,21,23,Diesel Fuel,68755,3,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
22,2023,,Chevrolet,Silverado 1500,"4WD Crew Cab 147"" LT w/1LT",1GCUDDE88PZ220388,TRUE,Sterling Gray Metallic,Jet Black,4,Four Wheel Drive,Automatic,Automatic,21,23,Diesel Fuel,68420,3,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
23,2020,,GMC,Terrain,FWD 4dr SLT,3GKALPEV2LL268469,FALSE,Quicksilver Metallic,Jet Black,154,Front Wheel Drive,Automatic,Automatic,26,30,Gasoline Fuel,23196,64837,"Prior Rental. CARFAX One-Owner. Clean CARFAX. Quicksilver Metallic 2020 GMC Terrain SLT FWD 9-Speed Automatic 1.5L DOHC **CARFAX 1 OWNER **, **CLEAN CARFAX**, Prior Rental, 2 USB Data Ports, 2 USB Data Ports w/SD Card Reader, 6-Speaker Audio System Feature, Automatic temperature control, Bluetooth® For Phone, Exterior Parking Camera Rear, Front dual zone A/C, Preferred Equipment Group 4SA, Radio: GMC Infotainment Audio System w/8 Display, SiriusXM Radio, Telescoping steering wheel, Tilt steering wheel, Wheels: 18 x 7 Machined Aluminum w/Gray Accents.26/30 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","
GMC Terrain tackles adventures with style, offering spacious comfort, fuel-efficient engines for daily commutes, and optional muscle for weekend escapes.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
24,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACEDXPG245953,TRUE,Black,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,17,21,Gasoline Fuel,55080,10,,"GMC Terrain tackles adventures with style, offering spacious comfort, fuel-efficient engines for daily commutes, and optional muscle for weekend escapes.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
25,2020,,Chevrolet,Bolt EV,5dr Wgn Premier,1G1FX6S05L4104415,FALSE,Silver Ice Metallic,Dark Galvanized Gray,,Front Wheel Drive,,Automatic,0,0,Electric Fuel System,24199,47640,"CARFAX One-Owner. Silver Ice Metallic 2020 Chevrolet Bolt EV Premier FWD 1-Speed Automatic Electric Drive Unit 2 USB Charging-Only Ports For Rear Passengers, All-Weather Cargo Mat (LPO), Apple CarPlay/Android Auto, Auto-dimming Rear-View mirror, Automatic temperature control, Bose Premium 7-Speaker Audio System, Front & Rear All-Weather Floor Mats, Infotainment Package, Interior Protection Package (LPO), Preferred Equipment Group 2LZ, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wheels: 17 Ultra-Bright Machined Aluminum, Wireless Charging For Devices.Recent Arrival! 127/108 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","
Bolt EV zaps you with electrifying speed, spacious and tech-savvy interior, and eco-friendly driving, making it a zippy choice for city commutes and green adventures.",https://www.goschchevy.com/inventory/new-2023-chevrolet-bolt-ev-2lt-front-wheel-drive-hatchback-1g1fx6s08p4207530/
26,2021,,Chevrolet,Equinox,FWD 4dr LT w/1LT,2GNAXKEV2M6104977,FALSE,Silver Ice Metallic,Jet Black,4,Front Wheel Drive,Automatic,Automatic,26,31,Gasoline Fuel,20450,63089,"Prior Rental. CARFAX One-Owner. Clean CARFAX. Silver Ice Metallic 2021 Chevrolet Equinox LT FWD 6-Speed Automatic Electronic with Overdrive 1.5L DOHC Prior Rental, 17 Aluminum Wheels, Apple CarPlay/Android Auto, Preferred Equipment Group 1LT, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel.26/31 City/Highway MPGAwards:* 2021 IIHS Top Safety Pick with specific headlightsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-equinox-ls-3GNAXHEG4RL138703
27,2020,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" RST",3GCPWDED9LG125742,FALSE,Shadow Gray Metallic,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,17,24,Gasoline Fuel,43296,18952,"CARFAX One-Owner. Clean CARFAX. Shadow Gray Metallic 2020 Chevrolet Silverado 1500 RST RWD 8-Speed Automatic EcoTec3 5.3L V8 10-Way Power Driver Seat w/Lumbar, 12-Volt Rear Auxiliary Power Outlet, 2 USB Ports (First Row), 4.2 Diagonal Color Display Driver Info Center, 4G LTE Wi-Fi Hot Spot Capable, 4-Way Manual Driver Seat Adjuster, 6-Speaker Audio System, All-Star Edition, Bluetooth® For Phone, Body Color Grille, Chevrolet Connected Access Capable, Cloth Rear Seat w/Storage Package, Color-Keyed Carpeting Floor Covering, Compass, Convenience Package, Deep-Tinted Glass, Dual-Zone Automatic Climate Control, Electric Rear-Window Defogger, Electrical Lock Control Steering Column, Front Frame-Mounted Black Recovery Hooks, Front LED Fog Lamps, Front Rubberized Vinyl Floor Mats, Heated Driver & Front Outboard Passenger Seats, Heated Steering Wheel, Heavy-Duty Rear Locking Differential, High Gloss Black Mirror Caps, Hitch Guidance, Keyless Open & Start, Leather Wrapped Steering Wheel, LED Cargo Area Lighting, Manual Tilt/Telescoping Steering Column, Manual Tilt-Wheel Steering Column, OnStar & Chevrolet Connected Services Capable, Power Door Locks, Power Front Windows w/Driver Express Up/Down, Power Front Windows w/Passenger Express Down, Power Rear Windows w/Express Down, Preferred Equipment Group 1SP, Rear 60/40 Folding Bench Seat (Folds Up), Rear Dual USB Charging-Only Ports, Rear Rubberized-Vinyl Floor Mats, Rear Vision Camera, Remote Vehicle Starter System, Single-Zone Manual/Semi-Automatic Air Conditioning, Steering Wheel Audio Controls, Steering Wheel Mounted Electronic Cruise Control, Theft Deterrent System (Unauthorized Entry), Trailering Package, Urethane Steering Wheel.Recent Arrival! Odometer is 20471 miles below market average!If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
28,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" Custom",1GCPABEK3PZ214049,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,46220,3,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
29,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" Custom",1GCPABEK7PZ159153,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,46220,5,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
30,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" Custom",1GCPABEK9PZ213844,TRUE,Summit White,Jet Black,4,Rear Wheel Drive,Automatic,Automatic,19,22,Gasoline Fuel,46220,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
